ID;URL;#Name;#Color;#Descriptive Color;#Color RGB;<img>;X;Y
6036408;https://brickset.com/parts/6036408;Brick 2X8;Red;Bright Red;B40004;images/6036408.jpg;0.358598172665,0.153777718544;
300123;https://brickset.com/parts/300123;Brick 2X4;Blue;Bright Blue;1E5AA8;images/300123.jpg;0.43953615427,0.147368818521;
300124;https://brickset.com/parts/300124;Brick 2X4;Yellow;Bright Yellow;FAC80A;images/300124.jpg;0.524501621723,0.137505173683;
300121;https://brickset.com/parts/300121;Brick 2X4;Red;Bright Red;B40002;images/300121.jpg;0.59928548336,0.135460197926;
4153826;https://brickset.com/parts/4153826;Brick 2X3;Orange;Bright Orange;D67923;images/4153826.jpg;0.681073307991,0.143825888634;
6056297;https://brickset.com/parts/6056297;Nose Cone 2X2X2;Red;Bright Red;B40006;images/6056297.jpg;0.265593409538,0.145467191935;
